EventID,D1Energy,D2Energy,TimeOfFlight,x_1,x_2,y_1,y_2,z_1,z_2,NeutronKE,arm
875.0,167.46560929105877,3016.3857962660927,4.629614693292998e-09,-32.77182721863206,-6.648045466259562,-5.0936828798316345,44.445976971405685,102.35,-55.65,3.0323490405041716e-17,-1.2598988443672383
908.0,261.31465981297384,6133.409800985783,1.0045127314251502e-08,13.511980927632825,41.89798095136249,-49.199100060131144,3.9540614385510056,102.35,-55.65,1.4097944416577266e-17,-1.26096668193798
991.0,75.66708313804757,3225256.721946998,5.2915394017354985e-09,14.608344486771395,15.14272558739357,-37.05441349753991,-15.949880593808256,102.35,-55.65,2.5228047048742466e-17,-1.4598903514773858
1082.0,136.4485250966816,31631.394821481583,5.255363342999996e-09,8.774127134370659,38.743526032387685,-10.22354863440128,-33.06546003665532,102.35,-55.65,2.588409022647147e-17,-1.3657432771889522
1121.0,145.86701865213263,29447540.809919965,3.318472006369e-08,-51.92351496528116,40.64548525972347,6.993554191316937,23.186832930199465,102.35,-55.65,4.6393339203442254e-18,-1.1052612921655893
1309.0,182.55174581159446,1115.634810946752,5.76855935036e-09,-44.08146456665412,23.643224638211773,-2.9627026623634354,34.24197239046301,102.35,-55.65,2.5534211481266052e-17,-1.149791825437038
1401.0,101.37145245348998,84363.38230702336,3.0846866372932e-08,-25.445265039992343,40.70578125936534,48.38019677166051,29.546573310943657,102.35,-55.65,4.67836586740185e-18,-1.2191755331877905
1729.0,98.52539554447765,825756.4312990289,5.900935380869999e-09,-25.611071128538075,-13.249613790244384,-37.393343055402724,36.5285736082666,102.35,-55.65,2.4818344345001676e-17,-1.1530955797180946
1732.0,103.67942723029115,7384.390231319549,5.345153240878e-09,23.63817548512667,1.650203846998634,46.27439923470087,22.580460334830605,102.35,-55.65,2.5267752933044845e-17,-1.3946383879851967
1915.0,75.81958594920543,26435551.2776962,2.643909444725199e-08,37.310749112896836,44.253900783470165,34.89895963189987,-14.993865484892478,102.35,-55.65,5.252881883824515e-18,-1.3102715114595502
1938.0,186.92536902324164,739468.3600203187,5.669763908320196e-09,-46.98464166420384,29.591434372128596,12.726146468502845,45.58143440885135,102.35,-55.65,2.6384356572130437e-17,-1.1191788922263477
2425.0,120.9198690118972,1202050.3440431824,4.028770300992667e-09,48.609618141036435,38.74564178766938,7.026478425404521,-48.333524319482564,102.35,-55.65,3.486163125673253e-17,-1.252452715579661
2471.0,104.96470761166327,17499840.438484862,5.667702230500001e-09,32.720871736127584,43.82414804228703,-32.1891173905621,23.603976813740143,102.35,-55.65,2.481331050238004e-17,-1.2512370326010804
3524.0,72.71641829611943,44057.77333587697,2.644834554086784e-08,10.681445257095776,57.129210076964576,-5.926386526709428,-21.933323123866426,102.35,-55.65,5.2392041397600786e-18,-1.3165066733729367
3548.0,144.05828127462698,34783654.31706146,3.4801514890415493e-08,-17.44380640020927,57.693777532944736,47.841082964392044,-14.341139419218432,102.35,-55.65,4.4681535970031974e-18,-1.0896986201746377
3588.0,121.32299534412945,60551.562440044734,2.8417284142837598e-08,-42.67806877826875,-51.045052350094,-0.17670541040405519,-23.03473527368106,102.35,-55.65,4.7112276899087015e-18,-1.4822170645760313
3705.0,102.42887925147716,15081.288965873304,5.145764062230001e-09,32.38511120418447,9.43336820625777,-30.180718853074485,-16.66128518685645,102.35,-55.65,2.607709246857837e-17,-1.4288639675218424
4053.0,92.88483771809159,55839767.94495452,2.79096912661795e-08,-4.807210891860147,36.26497468792146,-13.43078531817294,-13.542128885308273,102.35,-55.65,4.898546302374233e-18,-1.3716197167884279
4152.0,69.43535451724802,210743669.86390144,2.5974710868312e-08,20.48186109364191,41.170564126040475,38.259630943058966,16.18268520032844,102.35,-55.65,5.18671645412971e-18,-1.4279234983196953
4533.0,73.68962067836196,410904.63268707984,2.6646397234493e-08,-42.47248988418948,-3.2184148208844165,6.0879088010556455,33.27207793641394,102.35,-55.65,5.187544600559469e-18,-1.3250452990611667
4597.0,70.44832778772918,23049375.146281864,2.5703622738458502e-08,39.4334730029946,30.648529706320105,-10.060732679200148,-51.48149962903285,102.35,-55.65,5.329533612339456e-18,-1.3549968217644783
4682.0,99.18677146091055,52498.93819050788,5.489834541022603e-09,-2.1635317411079344,-50.992455822618886,0.6536640529606332,8.723738103579782,102.35,-55.65,2.5257369997301235e-17,-1.2923270672987246
4771.0,83.41319646846752,56938.019124995306,5.582575984729999e-09,27.316726342404287,42.474856816232894,41.175163640975356,9.374710411316151,102.35,-55.65,2.4284197807230606e-17,-1.3748815152056213
4881.0,90.32601290225482,25538.73763236849,2.7063730643738e-08,36.279228479532044,32.87447038045243,-46.033983672006066,-21.81641406549226,102.35,-55.65,4.947393661838052e-18,-1.47134277473993
5111.0,66.01517511147509,35598371.67543498,2.4833304657158e-08,-44.74551136447194,-29.616016472272317,-3.406375138595815,29.2020275594661,102.35,-55.65,5.4644632338485386e-18,-1.3910988939213689
5184.0,79.76368275822745,2592.911511286279,2.0844501811652e-08,-11.00867611654535,-25.51586665128484,8.309813822651304,12.39787793773749,102.35,-55.65,6.376739368256331e-18,-1.520472536625997
5524.0,70.46658938198313,2598372.5252431286,5.562041009138e-09,-22.512862806594296,24.865027720533497,35.879149815300714,29.527998800485065,102.35,-55.65,2.4854619608458137e-17,-1.2983232888576544
5528.0,113.10678837962182,10471.491085396341,4.787758486673168e-09,40.2976176556414,35.262987263702875,-13.60045052644294,-49.26077235892022,102.35,-55.65,2.8345848075439607e-17,-1.3719758456066535
