energy, angle, weighted effective area
20.0, 0.0, 0.03724956778752248
20.0, 10.0, 0.31296990064253494
20.0, 20.0, 0.6376056657390342
20.0, 30.0, 0.7870020656297972
20.0, 40.0, 0.8381837012947024
20.0, 50.0, 0.9861887694551624
20.0, 60.0, 0.9178260355403839

30.0, 0.0, 0.05232788258721789
30.0, 10.0, 0.4048644952317147
30.0, 20.0, 0.770060625693373
30.0, 30.0, 1.0121508426165085
30.0, 40.0, 1.1472125402442022
30.0, 50.0, 1.219916639417868
30.0, 60.0, 1.1282899246039344

50.0, 0.0, 0.04166454067524449
50.0, 10.0, 0.324630552846916
50.0, 20.0, 0.5372435382587144
50.0, 30.0, 0.7976929229849162
50.0, 40.0, 0.8711903106349608
50.0, 50.0, 0.990845442290004
50.0, 60.0, 0.8802324714230501

100.0, 0.0, 0.021385891253052392
100.0, 10.0, 0.1631806519750678
100.0, 20.0, 0.30276176273245675
100.0, 30.0, 0.4038006759414784
100.0, 40.0, 0.41512106586227104
100.0, 50.0, 0.5006803051891701
100.0, 60.0, 0.49628839488444465

