,EventID,Incidents,StartTime,InteractionID,OriginInteractionID,DetectorID,ElapsedTime,x,y,z,OriginalParticleID,NewParticleID,Energy
40,4.0,1852.0,0.009435146,5.0,1.0,3.1,4.7558193544436e-08,-38.30902,16.94316,-52.90724,6.0,1.0,1944.791
41,4.0,1852.0,0.009435146,6.0,1.0,3.1,4.7558193544436e-08,-38.30902,16.94316,-52.90724,6.0,4.0,3670.898
42,4.0,1852.0,0.009435146,7.0,1.0,3.1,4.7558193544436e-08,-38.30902,16.94316,-52.90724,6.0,6.0,4366.073
43,4.0,1852.0,0.009435146,8.0,7.0,0.0,9.9939382808628e-08,-57.04233,22.51679,96.6831,6.0,1.0,1341.505
44,4.0,1852.0,0.009435146,9.0,7.0,0.0,9.9939382808628e-08,-57.04233,22.51679,96.6831,6.0,1.0,1341.505
45,5.0,2384.0,0.012230469,1.0,0.0,0.0,0.0,8.532494,12.82203,250.0,0.0,6.0,22000.0
46,5.0,2384.0,0.012230469,2.0,1.0,0.0,2.2949581992436e-08,8.532494,12.82203,103.6736,6.0,12026.0,845.9822
47,5.0,2384.0,0.012230469,3.0,1.0,0.0,2.2949581992436e-08,8.532494,12.82203,103.6736,6.0,1.0,635.7076
48,5.0,2384.0,0.012230469,4.0,1.0,0.0,2.2949581992436e-08,8.532494,12.82203,103.6736,6.0,1.0,1429.249
49,5.0,2384.0,0.012230469,5.0,1.0,0.0,2.2949581992436e-08,8.532494,12.82203,103.6736,6.0,4.0,2071.181
50,5.0,2384.0,0.012230469,6.0,1.0,0.0,2.2949581992436e-08,8.532494,12.82203,103.6736,6.0,6.0,4277.268
51,5.0,2384.0,0.012230469,7.0,1.0,0.0,2.2949581992436e-08,8.532494,12.82203,103.6736,6.0,1.0,4469.485
52,5.0,2384.0,0.012230469,8.0,6.0,1.1,2.5335245472262e-08,4.19914,8.592064,100.578,6.0,6012.0,118.6336
